|file_id|01|02|03|04|05|06|07|08|
|1_29_0.wav|0.999|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|8_49_4.wav|0.0|0.0|0.996|0.0|0.0|0.0|0.0|0.003|
|10_26_2.wav|0.001|0.0|0.349|0.0|0.645|0.0|0.004|0.0|
|5_22_3.wav|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|
|4_42_3.wav|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|
|4_41_2.wav|0.003|0.0|0.996|0.0|0.0|0.0|0.0|0.0|
|2_38_0.wav|0.999|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|4_48_0.wav|0.73|0.001|0.251|0.014|0.0|0.001|0.0|0.003|
|2_27_3.wav|0.0|0.0|0.999|0.0|0.0|0.0|0.0|0.0|
|6_45_0.wav|0.997|0.0|0.002|0.0|0.0|0.0|0.0|0.0|
|1_33_2.wav|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
|10_20_4.wav|0.0|0.0|0.0|0.0|0.992|0.0|0.003|0.004|
|6_20_4.wav|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.999|
|4_29_1.wav|0.0|0.0|0.0|0.0|0.999|0.0|0.0|0.0|
|7_37_0.wav|0.982|0.0|0.018|0.0|0.0|0.0|0.0|0.0|
|9_24_2.wav|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
|7_42_2.wav|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
|2_28_1.wav|0.033|0.0|0.002|0.0|0.964|0.0|0.0|0.0|
|5_30_0.wav|0.216|0.0|0.782|0.001|0.0|0.0|0.0|0.0|
|8_21_1.wav|0.994|0.0|0.0|0.0|0.005|0.0|0.0|0.0|
|8_23_4.wav|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
|6_36_4.wav|0.0|0.0|0.999|0.001|0.0|0.0|0.0|0.0|
|3_43_1.wav|0.0|0.0|0.0|0.0|0.992|0.0|0.008|0.0|
|6_42_2.wav|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
